"date","country","fork","cnt"
"2025-04-07 00:00:00","DE","Altair","1"
"2025-04-07 00:00:00","NL","Altair","1"
"2025-04-07 00:00:00","FI","Bellatrix","2"
"2025-04-07 00:00:00","FR","Bellatrix","2"
"2025-04-07 00:00:00","US","Bellatrix","1"
"2025-04-07 00:00:00","DE","Capella","1"
"2025-04-07 00:00:00","FR","Capella","1"
"2025-04-07 00:00:00","AD","Deneb","1"
"2025-04-07 00:00:00","AE","Deneb","2"
"2025-04-07 00:00:00","AR","Deneb","4"
"2025-04-07 00:00:00","AT","Deneb","5"
"2025-04-07 00:00:00","AU","Deneb","5"
"2025-04-07 00:00:00","BE","Deneb","5"
"2025-04-07 00:00:00","BG","Deneb","3"
"2025-04-07 00:00:00","BR","Deneb","3"
"2025-04-07 00:00:00","CA","Deneb","11"
"2025-04-07 00:00:00","CH","Deneb","8"
"2025-04-07 00:00:00","CN","Deneb","1"
"2025-04-07 00:00:00","CZ","Deneb","2"
"2025-04-07 00:00:00","DE","Deneb","77"
"2025-04-07 00:00:00","DK","Deneb","1"
"2025-04-07 00:00:00","EC","Deneb","1"
"2025-04-07 00:00:00","EE","Deneb","3"
"2025-04-07 00:00:00","ES","Deneb","9"
"2025-04-07 00:00:00","FI","Deneb","35"
"2025-04-07 00:00:00","FR","Deneb","24"
"2025-04-07 00:00:00","GB","Deneb","11"
"2025-04-07 00:00:00","GI","Deneb","1"
"2025-04-07 00:00:00","HK","Deneb","1"
"2025-04-07 00:00:00","IE","Deneb","4"
"2025-04-07 00:00:00","IL","Deneb","1"
"2025-04-07 00:00:00","JP","Deneb","4"
"2025-04-07 00:00:00","LU","Deneb","1"
"2025-04-07 00:00:00","LV","Deneb","1"
"2025-04-07 00:00:00","MX","Deneb","1"
"2025-04-07 00:00:00","NL","Deneb","16"
"2025-04-07 00:00:00","NO","Deneb","2"
"2025-04-07 00:00:00","NZ","Deneb","1"
"2025-04-07 00:00:00","PL","Deneb","2"
"2025-04-07 00:00:00","PT","Deneb","1"
"2025-04-07 00:00:00","RO","Deneb","1"
"2025-04-07 00:00:00","RU","Deneb","3"
"2025-04-07 00:00:00","SE","Deneb","1"
"2025-04-07 00:00:00","SG","Deneb","6"
"2025-04-07 00:00:00","SI","Deneb","2"
"2025-04-07 00:00:00","TR","Deneb","1"
"2025-04-07 00:00:00","UA","Deneb","1"
"2025-04-07 00:00:00","US","Deneb","76"
"2025-04-07 00:00:00","Unknown","Deneb","30"
"2025-04-07 01:00:00","DE","Altair","1"
"2025-04-07 01:00:00","NL","Altair","1"
"2025-04-07 01:00:00","FI","Bellatrix","2"
"2025-04-07 01:00:00","FR","Bellatrix","4"
"2025-04-07 01:00:00","US","Bellatrix","1"
"2025-04-07 01:00:00","DE","Capella","2"
"2025-04-07 01:00:00","FR","Capella","1"
"2025-04-07 01:00:00","AD","Deneb","1"
"2025-04-07 01:00:00","AE","Deneb","2"
"2025-04-07 01:00:00","AR","Deneb","7"
"2025-04-07 01:00:00","AT","Deneb","7"
"2025-04-07 01:00:00","AU","Deneb","5"
"2025-04-07 01:00:00","BE","Deneb","4"
"2025-04-07 01:00:00","BG","Deneb","3"
"2025-04-07 01:00:00","BR","Deneb","2"
"2025-04-07 01:00:00","CA","Deneb","11"
"2025-04-07 01:00:00","CH","Deneb","10"
"2025-04-07 01:00:00","CN","Deneb","1"
"2025-04-07 01:00:00","CZ","Deneb","2"
"2025-04-07 01:00:00","DE","Deneb","80"
"2025-04-07 01:00:00","DK","Deneb","2"
"2025-04-07 01:00:00","EC","Deneb","1"
"2025-04-07 01:00:00","EE","Deneb","5"
"2025-04-07 01:00:00","ES","Deneb","9"
